,Backgrounds ,Skin ,Clothing,Eyes,Eyewear,Head,Tusks,Mouth
32,bg-punk-blue3_C,Elephant_Purple_C,T-shirt_challenge_SR,Elephant base eyes_C,Wayfarer_sunglasses_black-blue_C,elephant_mohawk1_blue_SR,None ,None 
33,bg-purple1_C,Elephant_Grey_C,None,Elephant base eyes_C,None,bitcoin_cap_blue_sky_silver_UC,None ,None 
34,BG-purple_C,Elephant_Sky_Blue_C,Hoodie_green_C,Elephant base eyes_C,None,None ,None ,None 
35,BG-purple_C,Elephant_Grey_C,Elephant_Basketball_jersey1_R,Elephant base eyes_C,Aviator_sunglasses_blue_C,bandana_green_UC,None ,None 
36,BG-purple_C,Elephant_Grey_C,None,Elephant base eyes_C,Wayfarer_sunglasses_flames-black_R,bitcoin_cap_red_gold_R,None ,None 
37,bg-punk-pink_C,Elephant_Black_SR,Elephant_Basketball_jersey1_R,Elephant base eyes_C,Aviator_sunglasses_red_clear_C,headband_red_UC,None ,None 
38,bg-punk-blue2_C,Leopard_Elephant_SR,None,Elephant base eyes_C,Wayfarer_sunglasses_black-yellow_C,None ,None ,None 
39,bg-punk-blue3_C,Elephant_Blue_C,Elephant_ninja_cloak_M,Elephant base eyes_C,Wayfarer_sunglasses_flames-black_R,None ,None ,None 
40,bg-punk-pink_C,Elephant_Silver_R,Hoodie_military3_UC,Elephant base eyes_C,Aviator_sunglasses_red_clear_C,headband_orange_UC,None ,None 
41,bg-army-green_C,Elephant_Red_C,Hoodie_orange_C,Elephant base eyes_C,VR_headset_2_green_R,bandana_white_R,None ,elephant_cigar_SR
42,BG_Yellow_C,Elephant_Purple_C,Elephant_Basketball_jersey2_R,Elephant base eyes_C,VR_headset_2_black_R,None ,None ,None 
43,bg-blue_C,Elephant_Grey_C,NFL_jersey2_R,Elephant base eyes_C,None,None ,None ,None 
44,BG_Yellow_C,Elephant_Blue_C,Hoodie_military2_UC,Elephant base eyes_C,Wayfarer_sunglasses_black-red_UC,bull_broken_horns_L,None ,None 
45,bg-punk-pink_C,Elephant_Green_C,None,Elephant base eyes_C,Wayfarer_sunglasses_yellow-black_UC,bull_broken_horns_L,new_radiations_tusks_downward_M,None 
46,bg-punk-blue2_C,Elephant_Gold_M,None,Elephant base eyes_C,Aviator_sunglasses_blue_C,headband_brown_UC,None ,None 
47,bg-punk-blue3_C,Elephant_Grey_C,Elephant_Basketball_jersey2_R,Elephant base eyes_C,VR_headset_2_blue_R,elephant_nfl_helmet_green_SR,None ,None 
48,bg-punk-blue3_C,Elephant_Blue_C,Elephant_Basketball_jersey2_R,Elephant base eyes_C,Wayfarer_sunglasses_black-red_UC,tv_head_elephant_yellow_SR,None ,None 
49,bg-punk-blue2_C,Elephant_Grey_C,None,Elephant base eyes_C,Aviator_sunglasses_yellow_gold_clear_UC,None ,None ,None 
50,bg-punk-pink_C,Elephant_Grey_C,None,Elephant base eyes_C,Aviator_sunglasses_blue_clear_C,bitcoin_cap_white_gold_R,None ,None 
51,BG-purple_C,Elephant_Blue_C,Hoodie_military3_UC,Elephant base eyes_C,Aviator_sunglasses_blue_C,elephant_nfl_helmet_green_SR,None ,None 
52,bg-yellow_C,Elephant_Red_C,Hoodie_orange_C,Elephant base eyes_C,None,bitcoin_cap_brown_silver_UC,None ,None 
53,bg-army-green-2_C,Elephant_Sky_Blue_C,Hoodie_yellow_C,Elephant base eyes_C,VR_headset_2_green_R,bitcoin_cap_pink_silver_UC,new_bloody_tusks_downward_L,None 
54,bg-punk-blue3_C,Elephant_Pink_C,Hoodie_pink_UC,Elephant base eyes_C,None,headband_black_UC,None ,None 
55,BG-purple_C,Elephant_Sky_Blue_C,Hoodie_orange_C,Elephant base eyes_C,Aviator_sunglasses_red_C,bitcoin_cap_blue_sky_silver_UC,None ,None 
56,bg-punk-blue2_C,Elephant_Pink_C,Hoodie_military2_UC,Elephant base eyes_C,Aviator_sunglasses_blue_C,headband_black_UC,None ,None 
57,bg-army-green_C,Elephant_Sky_Blue_C,None,Elephant base eyes_C,None,bitcoin_cap_white_silver_UC,None ,None 
58,bg-purple1_C,Elephant_Grey_C,None,Conspiring_Elephant_L,None,None ,None ,None 
59,bg-red_C,Elephant_Blue_C,T-shirt_black_C,Elephant base eyes_C,Red_lazer_L,headband_brown_UC,new_guns_tusks_downward_L,None 
60,bg-army-green_C,Elephant_Purple_C,Hoodie_brown_C,Elephant base eyes_C,Aviator_sunglasses_red_clear_C,elephant_nfl_helmet_green_SR,None ,None 
61,bg-orange_C,Elephant_Blue_C,Hoodie_yellow_C,Elephant base eyes_C,VR_headset_2_blue_R,elephant_mohawk2_blue_SR,None ,None 
62,bg-punk-pink_C,Elephant_Pink_C,Hoodie_yellow_C,Elephant base eyes_C,Aviator_sunglasses_yellow_gold_clear_UC,headband_brown_UC,None ,None 
63,bg-red_C,Elephant_Red_C,Elephant_Basketball_jersey2_R,Elephant base eyes_C,Wayfarer_sunglasses_black-blue_C,headband_black_UC,None ,None 
64,BG_Yellow_C,Elephant_Grey_C,Elephant_Basketball_jersey1_R,Elephant base eyes_C,Aviator_sunglasses_red_C,headband_brown_UC,None ,None 
65,BG-purple_C,Elephant_Grey_C,Hoodie_orange_C,Elephant base eyes_C,Aviator_sunglasses_blue_C,elephant_mohawk2_rainbow_SR,None ,None 
66,bg-red_C,Elephant_Blue_C,Hoodie_orange_C,Elephant base eyes_C,Aviator_sunglasses_red_clear_C,bandana_brown_UC,None ,None 
67,BG_Yellow_C,Elephant_Grey_C,Hoodie_orange_C,Elephant base eyes_C,Aviator_sunglasses_yellow_gold_clear_UC,bandana_purple_R,None ,None 
68,bg-punk-blue3_C,Elephant_Grey_C,T-shirt_blue_C,Elephant base eyes_C,Aviator_sunglasses_blue_C,None ,None ,None 
69,bg-blue_C,Elephant_Green_C,None,Elephant base eyes_C,VR_headset_2_black_R,bandana_white_R,None ,None 
70,bg-punk-blue2_C,Elephant_Pink_C,Hoodie_pink_UC,Elephant base eyes_C,Aviator_sunglasses_red_C,headband_green_UC,None ,None 
71,bg-red_C,Elephant_Grey_C,None,Elephant base eyes_C,Wayfarer_sunglasses_funny_R,None ,None ,None 
72,bg-punk-pink_C,Elephant_Purple_C,Hoodie_orange_C,Elephant base eyes_C,Aviator_sunglasses_red_C,None ,None ,None 
73,bg-purple1_C,Elephant_Sky_Blue_C,Hoodie_green_C,Elephant base eyes_C,Aviator_sunglasses_red_C,bandana_black_R,None ,None 
74,bg-purple1_C,Elephant_Pink_C,Hoodie_yellow_C,Elephant base eyes_C,None,baseball_cap1_R,None ,None 
75,bg-army-green-2_C,Elephant_Grey_C,Hoodie_green_C,Elephant base eyes_C,Wayfarer_sunglasses_funny_R,bitcoin_cap_brown_silver_UC,None ,None 
76,bg-red_C,Cyborg_Elephants_SR,Hoodie_orange_C,Elephant base eyes_C,Wayfarer_sunglasses_funny_R,bandana_white_R,None ,None 
77,bg-punk-blue2_C,Elephant_Red_C,Hoodie_pink_UC,Elephant base eyes_C,Aviator_sunglasses_black_clear_UC,bitcoin_cap_white_silver_UC,None ,None 
78,bg-punk-blue3_C,Elephant_Green_C,T-shirt_black_C,Elephant base eyes_C,None,bitcoin_cap_blue_sky_silver_UC,new_ivory_tusks_downdard_SR,None 
79,bg-blue_C,Elephant_Purple_C,Hoodie_military2_UC,Elephant base eyes_C,None,None ,None ,elephant_blunt_M
80,bg-punk-blue2_C,Elephant_Blue_C,T-shirt_blue_C,Elephant base eyes_C,None,baseball_cap1_R,None ,None 
81,bg-army-green_C,Elephant_Green_C,Hoodie_yellow_C,Elephant base eyes_C,Rainbow_lazer_L,headband_black_UC,None ,None 
82,bg-orange_C,Elephant_Red_C,NFL_jersey1_R,Elephant base eyes_C,None,bandana_purple_R,None ,None 
83,bg-punk-pink_C,Elephant_Sky_Blue_C,NFL_jersey2_R,Elephant base eyes_C,Aviator_sunglasses_pink_clear_UC,bitcoin_cap_pink_silver_UC,None ,None 
84,bg-red_C,Elephant_Purple_C,None,Elephant base eyes_C,None,elephant_mohawk2_pink_SR,None ,None 
85,bg-red_C,Elephant_Green_C,Elephant_Basketball_jersey2_R,Elephant base eyes_C,Aviator_sunglasses_blue_clear_C,bitcoin_cap_blue_sky_silver_UC,None ,None 
86,bg-punk-pink_C,Elephant_Grey_C,None,Elephant base eyes_C,Aviator_sunglasses_yellow_gold_clear_UC,None ,None ,None 
87,bg-purple1_C,Elephant_Green_C,None,Elephant base eyes_C,None,None ,None ,None 
88,bg-orange_C,Elephant_Sky_Blue_C,Hoodie_orange_C,Elephant base eyes_C,None,None ,None ,None 
89,bg-blue_C,Elephant_Pink_C,None,Elephant base eyes_C,Aviator_sunglasses_red_C,tv_head_elephant_orange_SR,None ,None 
90,bg-punk-pink_C,Elephant_Green_C,None,Elephant base eyes_C,None,None ,None ,None 
91,bg-army-green_C,Elephant_Blue_C,None,Elephant base eyes_C,None,headband_red_UC,None ,None 
92,bg-punk-blue3_C,Elephant_Sky_Blue_C,T-shirt_blue_C,Elephant base eyes_C,Aviator_sunglasses_blue_C,None ,None ,None 
93,BG-purple_C,Elephant_Grey_C,NFL_jersey1_R,Elephant base eyes_C,Wayfarer_sunglasses_black-black_UC,None ,None ,None 
94,bg-yellow_C,Elephant_Green_C,None,Elephant base eyes_C,Wayfarer_sunglasses_funny_R,baseball_cap2_R,None ,None 
95,bg-army-green_C,Elephant_Blue_C,Hoodie_orange_C,Elephant base eyes_C,Wayfarer_sunglasses_black-red_UC,bitcoin_cap_white_silver_UC,None ,None 
96,BG_punkblue_C,Elephant_Blue_C,None,Elephant base eyes_C,Wayfarer_sunglasses_black-black_UC,headband_orange_UC,None ,None 
97,bg-punk-pink_C,Elephant_Grey_C,None,Elephant base eyes_C,Wayfarer_sunglasses_black-red_UC,bitcoin_cap_pink_silver_UC,None ,None 
98,BG-purple_C,Elephant_Grey_C,Hoodie_brown_C,Elephant base eyes_C,Aviator_sunglasses_red_clear_C,bandana_brown_UC,None ,None 
99,BG_punkblue_C,Elephant_Purple_C,Soccer_jersey_R,Elephant base eyes_C,Aviator_sunglasses_yellow_gold_clear_UC,bitcoin_cap_blue_sky_gold_R,None ,None 
100,BG_Yellow_C,Elephant_Pink_C,Hoodie_orange_C,Elephant base eyes_C,VR_headset_2_yellow_R,elephant_nfl_helmet_green_SR,None ,None 
101,bg-punk-blue3_C,Elephant_Sky_Blue_C,None,Elephant base eyes_C,None,headband_black_UC,None ,None 
102,bg-purple1_C,Elephant_Pink_C,None,Elephant base eyes_C,None,bitcoin_cap_white_silver_UC,None ,None 
103,BG-purple_C,Elephant_Green_C,None,Elephant base eyes_C,Wayfarer_sunglasses_black-red_UC,bitcoin_cap_red_silver_UC,None ,None 
104,bg-punk-blue2_C,Elephant_Sky_Blue_C,T-shirt_challenge_SR,Elephant base eyes_C,None,bitcoin_cap_pink_silver_UC,None ,None 
105,bg-yellow_C,Elephant_Grey_C,None,Elephant base eyes_C,None,None ,None ,None 
106,bg-punk-blue3_C,Elephant_Pink_C,Elephant_Basketball_jersey1_R,Elephant base eyes_C,None,None ,None ,None 
107,bg-punk-pink_C,Elephant_Silver_R,Hoodie_green_C,Elephant base eyes_C,None,None ,None ,None 
108,bg-purple1_C,Elephant_Pink_C,NFL_jersey1_R,Elephant base eyes_C,Aviator_sunglasses_pink_clear_UC,bitcoin_cap_blue_sky_gold_R,None ,None 
109,bg-punk-blue2_C,Elephant_Pink_C,Hoodie_yellow_C,Elephant base eyes_C,None,headband_red_UC,None ,None 
110,bg-yellow_C,Elephant_Grey_C,T-shirt_challenge_SR,Elephant base eyes_C,Wayfarer_sunglasses_black-blue_C,None ,None ,None 
111,BG-purple_C,Elephant_Sky_Blue_C,T-shirt_blue_C,Elephant base eyes_C,Wayfarer_sunglasses_flames-black_R,elephant_mohawk1_pink_SR,None ,None 
112,BG_Yellow_C,Elephant_Grey_C,None,Elephant base eyes_C,Aviator_sunglasses_red_C,bitcoin_cap_blue_sky_silver_UC,None ,None 
113,BG_Yellow_C,Elephant_Pink_C,Hoodie_orange_C,Elephant base eyes_C,None,None ,None ,None 
114,bg-purple1_C,Elephant_Purple_C,Hoodie_military2_UC,Elephant base eyes_C,VR_headset_2_blue_R,None ,None ,None 
115,bg-punk-blue3_C,Elephant_Pink_C,Hoodie_brown_C,Elephant base eyes_C,Wayfarer_sunglasses_black-black_UC,bitcoin_cap_pink_silver_UC,None ,None 
116,BG-purple_C,Elephant_Green_C,Hoodie_brown_C,Elephant base eyes_C,Aviator_sunglasses_pink_UC,bull_horns_SR,None ,None 
117,bg-punk-blue2_C,Elephant_Red_C,Hoodie_yellow_C,Elephant base eyes_C,None,headband_black_UC,None ,None 
118,bg-yellow_C,Elephant_Sky_Blue_C,Hoodie_White_UC,Elephant base eyes_C,Wayfarer_sunglasses_black-black_UC,None ,None ,None 
119,bg-red_C,Elephant_Pink_C,Hoodie_pink_UC,Elephant base eyes_C,VR_headset_2_grey_R,elephant_mohawk2_blue_SR,None ,None 
120,bg-purple1_C,Elephant_Purple_C,None,Elephant base eyes_C,None,None ,None ,None 
121,bg-red_C,Elephant_Pink_C,Elephant_Basketball_jersey2_R,Elephant base eyes_C,None,bandana_black_R,None ,None 
122,bg-army-green-2_C,Elephant_Blue_C,NFL_jersey1_R,Elephant base eyes_C,Aviator_sunglasses_pink_clear_UC,headband_green_UC,None ,None 
123,bg-punk-pink_C,Elephant_Blue_C,T-shirt_white_UC,Elephant base eyes_C,Aviator_sunglasses_pink_UC,None ,None ,None 
124,bg-purple1_C,Elephant_Blue_C,Hoodie_brown_C,Elephant base eyes_C,None,None ,None ,elephant_gas_mask_beige_L
125,bg-punk-blue3_C,Elephant_Purple_C,Soccer_jersey_R,Elephant base eyes_C,Aviator_sunglasses_pink_UC,None ,None ,None 
126,bg-orange_C,Elephant_Grey_C,Hoodie_pink_UC,Elephant base eyes_C,None,bandana_purple_R,None ,None 
127,bg-punk-blue3_C,Elephant_Red_C,None,Elephant base eyes_C,None,bitcoin_cap_brown_silver_UC,None ,None 
128,bg-yellow_C,Elephant_Blue_C,None,Elephant base eyes_C,Wayfarer_sunglasses_black-black_UC,None ,None ,None 
129,bg-punk-blue3_C,Elephant_Purple_C,Hoodie_yellow_C,Elephant base eyes_C,None,bitcoin_cap_blue_sky_silver_UC,None ,None 
130,bg-punk-blue3_C,Elephant_Blue_C,None,Elephant base eyes_C,None,bull_horns_SR,None ,None 
131,bg-orange_C,Elephant_Black_SR,Hoodie_military1_UC,Elephant base eyes_C,None,None ,None ,None 
132,bg-orange_C,Elephant_Sky_Blue_C,Hoodie_yellow_C,Elephant base eyes_C,Wayfarer_sunglasses_black-red_UC,None ,None ,None 
133,bg-punk-blue3_C,Elephant_Sky_Blue_C,Hoodie_pink_UC,Elephant base eyes_C,Aviator_sunglasses_blue_clear_C,elephant_mohawk2_rainbow_SR,None ,None 
134,bg-red_C,Elephant_Red_C,None,Elephant base eyes_C,None,baseball_cap2_R,None ,None 
135,bg-red_C,Elephant_Purple_C,T-shirt_black_C,Elephant base eyes_C,None,None ,None ,None 
136,bg-punk-blue2_C,Elephant_Red_C,T-shirt_black_C,Elephant base eyes_C,Wayfarer_sunglasses_black-red_UC,tv_head_elephant_orange_SR,None ,None 
137,BG_Yellow_C,Elephant_Purple_C,Hoodie_White_UC,Elephant base eyes_C,Aviator_sunglasses_red_C,elephant_mohawk2_blue_SR,None ,None 
138,BG_Yellow_C,Elephant_Sky_Blue_C,None,Elephant base eyes_C,Wayfarer_sunglasses_black-black_UC,None ,None ,None 
139,bg-purple1_C,Elephant_Grey_C,NFL_jersey1_R,Elephant base eyes_C,Wayfarer_sunglasses_black-yellow_C,baseball_cap2_R,None ,None 
140,bg-army-green_C,Elephant_Purple_C,Hoodie_yellow_C,Elephant base eyes_C,Wayfarer_sunglasses_black-black_UC,headband_orange_UC,None ,elephant_gas_mask_dark_L
141,bg-red_C,Elephant_Purple_C,Elephant_Basketball_jersey2_R,Elephant base eyes_C,Aviator_sunglasses_black_clear_UC,headband_black_UC,None ,None 
142,bg-orange_C,Elephant_Green_C,Hoodie_brown_C,Elephant base eyes_C,Aviator_sunglasses_blue_C,bandana_purple_R,None ,None 
143,bg-yellow_C,Elephant_Green_C,T-shirt_white_UC,Elephant base eyes_C,Aviator_sunglasses_pink_UC,None ,None ,elephant_gas_mask_beige_L
144,BG_Yellow_C,Elephant_Sky_Blue_C,T-shirt_black_C,Elephant base eyes_C,None,headband_green_UC,None ,None 
145,bg-punk-blue2_C,Elephant_Blue_C,Elephant_Basketball_jersey2_R,Elephant base eyes_C,None,headband_orange_UC,None ,None 
146,bg-punk-pink_C,Elephant_Grey_C,None,Elephant base eyes_C,None,elephant_mohawk1_blue_SR,None ,None 
147,BG_Yellow_C,Cyborg_Elephants_SR,Hoodie_green_C,Elephant base eyes_C,None,tv_head_elephant_yellow_SR,None ,None 
148,bg-red_C,Elephant_Green_C,Hoodie_green_C,Elephant base eyes_C,None,bandana_green_UC,None ,None 
149,bg-punk-pink_C,Elephant_Grey_C,Hoodie_White_UC,Elephant base eyes_C,Wayfarer_sunglasses_funny_R,bandana_green_UC,None ,None 
150,bg-orange_C,Elephant_Pink_C,T-shirt_LGBTQ_L,Elephant base eyes_C,Aviator_sunglasses_red_clear_C,None ,None ,None 
151,bg-yellow_C,Elephant_Silver_R,Hoodie_military1_UC,Elephant base eyes_C,Aviator_sunglasses_pink_UC,bitcoin_cap_blue_sky_gold_R,None ,None 
152,bg-punk-blue3_C,Elephant_Green_C,None,Elephant base eyes_C,Wayfarer_sunglasses_black-blue_C,bitcoin_cap_white_silver_UC,None ,None 
153,bg-blue_C,Elephant_Pink_C,None,Elephant base eyes_C,Aviator_sunglasses_red_clear_C,None ,None ,None 
154,BG-purple_C,Elephant_Red_C,None,Elephant base eyes_C,Wayfarer_sunglasses_black-red_UC,headband_black_UC,None ,None 
155,bg-punk-pink_C,Elephant_Green_C,Hoodie_military2_UC,Elephant base eyes_C,None,None ,None ,None 
156,bg-punk-blue3_C,Elephant_Red_C,None,Elephant base eyes_C,Aviator_sunglasses_pink_clear_UC,bitcoin_cap_red_silver_UC,None ,elephant_cigar_SR
157,BG_Yellow_C,Elephant_Blue_C,None,Elephant base eyes_C,Wayfarer_sunglasses_black-black_UC,bitcoin_cap_white_silver_UC,None ,None 
158,BG-purple_C,Elephant_Sky_Blue_C,Hoodie_pink_UC,Elephant base eyes_C,Aviator_sunglasses_pink_UC,elephant_mohawk2_blue_SR,new_ivory_tusks_downdard_SR,None 
159,bg-red_C,Elephant_Grey_C,T-shirt_white_UC,Elephant base eyes_C,Aviator_sunglasses_blue_clear_C,bitcoin_cap_blue_sky_silver_UC,None ,None 
160,bg-army-green-2_C,Elephant_Blue_C,None,Elephant base eyes_C,Wayfarer_sunglasses_black-yellow_C,bitcoin_cap_white_gold_R,None ,None 
161,BG_Yellow_C,Elephant_Sky_Blue_C,Elephant_Basketball_jersey2_R,Elephant base eyes_C,Aviator_sunglasses_blue_C,headband_brown_UC,None ,None 
162,bg-punk-blue2_C,Elephant_Red_C,Hoodie_military1_UC,Elephant base eyes_C,VR_headset_2_black_R,None ,None ,None 
163,bg-yellow_C,Elephant_Sky_Blue_C,T-shirt_black_C,Elephant base eyes_C,Wayfarer_sunglasses_flames-black_R,bitcoin_cap_red_silver_UC,None ,None 
164,bg-punk-pink_C,Elephant_Sky_Blue_C,Hoodie_brown_C,Elephant base eyes_C,Wayfarer_sunglasses_black-black_UC,None ,None ,None 
165,BG_punkblue_C,Elephant_Blue_C,None,Elephant base eyes_C,Aviator_sunglasses_blue_C,elephant_mohawk1_pink_SR,None ,None 
166,bg-punk-blue2_C,Elephant_Purple_C,None,Elephant base eyes_C,VR_headset_2_yellow_R,headband_black_UC,None ,None 
167,bg-punk-blue2_C,Elephant_Red_C,T-shirt_white_UC,Elephant base eyes_C,Aviator_sunglasses_black_UC,bitcoin_cap_pink_silver_UC,None ,None 
168,bg-punk-blue2_C,Elephant_Blue_C,None,Elephant base eyes_C,None,None ,None ,None 
169,bg-orange_C,Elephant_Pink_C,T-shirt_blue_C,Elephant base eyes_C,None,elephant_mohawk1_white_SR,None ,None 
170,bg-red_C,Elephant_Blue_C,Hoodie_orange_C,Elephant base eyes_C,None,bandana_brown_UC,None ,None 
171,bg-purple1_C,Elephant_Pink_C,None,Elephant base eyes_C,None,None ,None ,None 
172,bg-red_C,Elephant_Pink_C,Hoodie_green_C,Elephant base eyes_C,Wayfarer_sunglasses_yellow-black_UC,bandana_white_R,None ,None 
173,bg-punk-pink_C,Elephant_Grey_C,None,Elephant base eyes_C,Aviator_sunglasses_black_clear_UC,elephant_nfl_helmet_green_SR,None ,None 
174,bg-punk-blue3_C,Elephant_Green_C,Hoodie_yellow_C,Elephant base eyes_C,Aviator_sunglasses_blue_C,None ,None ,None 
175,bg-purple1_C,Elephant_Sky_Blue_C,T-shirt_blue_C,Elephant base eyes_C,Aviator_sunglasses_blue_C,elephant_mohawk2_pink_SR,None ,None 
176,bg-red_C,Elephant_Pink_C,None,Elephant base eyes_C,None,bandana_blue_R,new_ivory_tusks_downdard_SR,None 
177,bg-punk-blue2_C,Elephant_Grey_C,None,Upset_Elephant_L,Aviator_sunglasses_black_UC,None ,None ,None 
178,bg-red_C,Leopard_Elephant_SR,None,Elephant base eyes_C,None,bitcoin_cap_brown_silver_UC,None ,None 
179,BG_Yellow_C,Elephant_Blue_C,Hoodie_military3_UC,Elephant base eyes_C,Aviator_sunglasses_black_clear_UC,bitcoin_cap_white_silver_UC,None ,None 
180,bg-punk-blue2_C,Elephant_Blue_C,None,Elephant base eyes_C,Aviator_sunglasses_black_UC,bandana_brown_UC,None ,None 
181,bg-army-green_C,Elephant_Grey_C,None,Elephant base eyes_C,Aviator_sunglasses_blue_clear_C,baseball_cap1_R,None ,None 
182,bg-yellow_C,Elephant_Pink_C,T-shirt_black_C,Elephant base eyes_C,Aviator_sunglasses_blue_clear_C,elephant_mohawk1_blue_SR,None ,None 
183,bg-red_C,Elephant_Sky_Blue_C,Hoodie_green_C,Elephant base eyes_C,Wayfarer_sunglasses_black-red_UC,elephant_nfl_helmet_green_SR,None ,None 
184,BG_Yellow_C,Elephant_Gold_M,Hoodie_brown_C,Elephant base eyes_C,None,None ,None ,None 
185,bg-army-green-2_C,Elephant_Sky_Blue_C,T-shirt_white_UC,Elephant base eyes_C,Aviator_sunglasses_red_clear_C,bandana_green_UC,None ,None 
186,bg-orange_C,Elephant_Blue_C,None,Elephant base eyes_C,Aviator_sunglasses_pink_UC,elephant_mohawk1_rainbow_M,None ,None 
187,BG_Teal_C,Elephant_Pink_C,None,Elephant base eyes_C,None,bitcoin_cap_pink_silver_UC,None ,None 
188,bg-yellow_C,Elephant_Pink_C,Hoodie_pink_UC,Elephant base eyes_C,None,headband_green_UC,None ,None 
189,bg-punk-blue3_C,Elephant_Purple_C,Hoodie_pink_UC,Elephant base eyes_C,None,bandana_brown_UC,None ,None 
190,BG_Teal_C,Elephant_Purple_C,Hoodie_yellow_C,Elephant base eyes_C,Aviator_sunglasses_red_C,None ,None ,None 
